 ,Label,Area,Mean,Min,Max,%Area
1,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0001-0006:1,0.156,0.000,0,0,0.000
2,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0002-0006:1,0.190,0.000,0,0,0.000
3,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0003-0010:1,0.148,58.286,0,255,22.857
4,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0004-0010:1,0.059,0.000,0,0,0.000
5,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0005-0012:1,0.046,0.000,0,0,0.000
6,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0006-0014:1,0.186,0.000,0,0,0.000
7,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0007-0017:1,0.194,199.565,0,255,78.261
8,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0008-0017:1,0.097,221.739,0,255,86.957
9,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0009-0021:1,0.127,85.000,0,255,33.333
10,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0010-0025:1,0.245,184.655,0,255,72.414
11,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0011-0021:1,0.017,0.000,0,0,0.000
12,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0012-0029:1,0.025,0.000,0,0,0.000
13,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0013-0028:1,0.017,63.750,0,255,25.000
14,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0014-0033:1,0.144,232.500,0,255,91.176
15,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0015-0037:1,0.068,0.000,0,0,0.000
16,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0016-0038:1,0.085,242.250,0,255,95.000
17,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0017-0041:1,0.097,121.957,0,255,47.826
18,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0018-0041:1,0.017,255.000,255,255,100.000
19,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0019-0043:1,0.097,210.652,0,255,82.609
20,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0020-0044:1,0.207,20.816,0,255,8.163
21,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0021-0044:1,0.063,102.000,0,255,40.000
22,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0022-0045:1,0.110,225.577,0,255,88.462
23,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0023-0046:1,0.114,188.889,0,255,74.074
