 ,Label,Area,Mean,Min,Max,%Area
1,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0001-0391:1,0.106,102.000,0,255,40.000
2,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0002-0404:1,0.063,0.000,0,0,0.000
3,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0003-0409:1,0.097,22.174,0,255,8.696
4,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0004-0410:1,0.144,0.000,0,0,0.000
5,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0005-0415:1,0.127,119.000,0,255,46.667
6,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0006-0417:1,0.072,0.000,0,0,0.000
7,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0007-0423:1,0.110,0.000,0,0,0.000
8,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0008-0426:1,0.203,148.750,0,255,58.333
9,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0009-0429:1,0.135,63.750,0,255,25.000
10,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0010-0436:1,0.144,187.500,0,255,73.529
11,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0011-0445:1,0.123,167.069,0,255,65.517
12,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0012-0451:1,0.068,207.188,0,255,81.250
13,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0013-0459:1,0.325,182.143,0,255,71.429
14,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0014-0458:1,0.123,246.207,0,255,96.552
15,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0015-0459:1,0.097,55.435,0,255,21.739
16,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0016-0462:1,0.177,0.000,0,0,0.000
17,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0017-0464:1,0.224,216.509,0,255,84.906
18,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0018-0463:1,0.034,0.000,0,0,0.000
19,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0019-0470:1,0.123,131.897,0,255,51.724
20,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0020-0471:1,0.135,111.562,0,255,43.750
21,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0021-0475:1,0.325,172.208,0,255,67.532
22,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0022-0470:1,0.051,0.000,0,0,0.000
23,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0023-0472:1,0.076,0.000,0,0,0.000
24,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0024-0474:1,0.110,29.423,0,255,11.538
25,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0025-0475:1,0.165,209.231,0,255,82.051
26,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0026-0476:1,0.148,153.000,0,255,60.000
27,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0027-0479:1,0.131,213.871,0,255,83.871
28,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0028-0479:1,0.182,11.860,0,255,4.651
29,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0029-0482:1,0.279,142.955,0,255,56.061
30,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0030-0482:1,0.080,0.000,0,0,0.000
31,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0031-0486:1,0.101,0.000,0,0,0.000
32,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0032-0490:1,0.152,198.333,0,255,77.778
33,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0033-0490:1,0.101,0.000,0,0,0.000
34,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0034-0495:1,0.380,204.000,0,255,80.000
35,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0035-0496:1,0.380,218.167,0,255,85.556
36,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0036-0494:1,0.017,127.500,0,255,50.000
37,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0037-0497:1,0.114,0.000,0,0,0.000
38,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0038-0504:1,0.292,177.391,0,255,69.565
39,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0039-0503:1,0.152,212.500,0,255,83.333
40,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0040-0504:1,0.118,200.357,0,255,78.571
41,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0041-0505:1,0.101,31.875,0,255,12.500
42,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0042-0507:1,0.156,151.622,0,255,59.459
43,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0043-0506:1,0.038,255.000,255,255,100.000
44,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0044-0509:1,0.127,161.500,0,255,63.333
45,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0045-0512:1,0.131,180.968,0,255,70.968
46,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0046-0519:1,0.135,111.562,0,255,43.750
47,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0047-0519:1,0.101,0.000,0,0,0.000
48,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0048-0520:1,0.131,180.968,0,255,70.968
49,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0049-0522:1,0.131,156.290,0,255,61.290
50,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0050-0523:1,0.177,182.143,0,255,71.429
51,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0051-0522:1,0.030,0.000,0,0,0.000
52,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0052-0525:1,0.093,0.000,0,0,0.000
53,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0053-0527:1,0.118,163.929,0,255,64.286
54,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0054-0529:1,0.254,216.750,0,255,85.000
55,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0055-0530:1,0.194,227.283,0,255,89.130
56,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0056-0529:1,0.097,0.000,0,0,0.000
57,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0057-0530:1,0.046,0.000,0,0,0.000
58,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0058-0531:1,0.182,17.791,0,255,6.977
59,MAX_Multiply-20211208-K14-EBS-VAPB-well1-006_SS.tif:0001-0059-0530:1,0.046,0.000,0,0,0.000
