 ,Label,Area,Mean,Min,Max,%Area
1,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0001-0397:1,0.034,0.000,0,0,0.000
2,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0002-0428:1,0.034,0.000,0,0,0.000
3,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0003-0430:1,0.046,255.000,255,255,100.000
4,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0004-0437:1,0.304,255.000,255,255,100.000
5,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0005-0441:1,0.283,255.000,255,255,100.000
6,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0006-0445:1,0.169,255.000,255,255,100.000
7,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0007-0448:1,0.363,255.000,255,255,100.000
8,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0008-0447:1,0.207,244.592,0,255,95.918
9,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0009-0449:1,0.237,145.714,0,255,57.143
10,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0010-0449:1,0.123,255.000,255,255,100.000
11,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0011-0461:1,0.135,239.062,0,255,93.750
12,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0012-0463:1,0.363,228.314,0,255,89.535
13,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0013-0472:1,0.444,191.857,0,255,75.238
14,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0014-0474:1,0.283,255.000,255,255,100.000
15,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0015-0477:1,0.165,202.692,0,255,79.487
16,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0016-0482:1,0.461,255.000,255,255,100.000
17,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0017-0485:1,0.232,255.000,255,255,100.000
18,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0018-0487:1,0.249,255.000,255,255,100.000
19,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0019-0489:1,0.144,157.500,0,255,61.765
20,MAX_Multiply-20211213-K14EBS-VAPB-006_SS-NoFil.tif:0001-0020-0498:1,0.587,255.000,255,255,100.000
