 ,Label,Area,Mean,Min,Max,%Area
1,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0001-0013:1,0.127,76.500,0,255,30.000
2,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0002-0019:1,0.017,0.000,0,0,0.000
3,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0003-0023:1,0.030,0.000,0,0,0.000
4,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0004-0023:1,0.038,0.000,0,0,0.000
5,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0005-0029:1,0.021,0.000,0,0,0.000
6,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0006-0044:1,0.021,0.000,0,0,0.000
7,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0007-0057:1,0.030,109.286,0,255,42.857
8,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0008-0061:1,0.114,255.000,255,255,100.000
9,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0009-0069:1,0.080,255.000,255,255,100.000
10,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0010-0092:1,0.055,235.385,0,255,92.308
11,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0011-0094:1,0.139,115.909,0,255,45.455
12,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0012-0100:1,0.068,159.375,0,255,62.500
13,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0013-0100:1,0.059,0.000,0,0,0.000
14,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0014-0112:1,0.118,18.214,0,255,7.143
15,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0015-0116:1,0.123,246.207,0,255,96.552
16,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0016-0115:1,0.076,255.000,255,255,100.000
17,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0017-0120:1,0.059,255.000,255,255,100.000
18,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0018-0137:1,0.097,0.000,0,0,0.000
19,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0019-0143:1,0.190,209.667,0,255,82.222
20,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0020-0143:1,0.123,255.000,255,255,100.000
21,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0021-0149:1,0.068,255.000,255,255,100.000
22,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0022-0151:1,0.021,0.000,0,0,0.000
23,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0023-0153:1,0.034,255.000,255,255,100.000
24,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0024-0153:1,0.017,255.000,255,255,100.000
25,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0025-0166:1,0.106,255.000,255,255,100.000
26,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0026-0192:1,0.042,76.500,0,255,30.000
27,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0027-0192:1,0.017,255.000,255,255,100.000
28,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0028-0195:1,0.093,46.364,0,255,18.182
29,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0029-0196:1,0.051,212.500,0,255,83.333
30,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0030-0210:1,0.076,255.000,255,255,100.000
31,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0031-0221:1,0.106,255.000,255,255,100.000
32,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0032-0222:1,0.068,255.000,255,255,100.000
33,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0033-0229:1,0.101,0.000,0,0,0.000
34,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0034-0229:1,0.072,210.000,0,255,82.353
35,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0035-0230:1,0.055,255.000,255,255,100.000
36,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0036-0230:1,0.017,0.000,0,0,0.000
37,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0037-0230:1,0.034,223.125,0,255,87.500
38,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0038-0240:1,0.101,0.000,0,0,0.000
39,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0039-0239:1,0.042,0.000,0,0,0.000
40,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0040-0262:1,0.072,255.000,255,255,100.000
41,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0041-0263:1,0.063,68.000,0,255,26.667
42,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0042-0266:1,0.101,95.625,0,255,37.500
43,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0043-0268:1,0.177,255.000,255,255,100.000
44,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0044-0274:1,0.034,0.000,0,0,0.000
45,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0045-0289:1,0.076,255.000,255,255,100.000
