 ,Label,Area,Mean,Min,Max,%Area
1,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0001-0084:1,0.177,224.643,0,255,88.095
2,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0002-0121:1,0.144,105.000,0,255,41.176
3,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0003-0128:1,0.279,119.773,0,255,46.970
4,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0004-0141:1,0.144,150.000,0,255,58.824
5,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0005-0148:1,0.152,255.000,255,255,100.000
6,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0006-0148:1,0.110,255.000,255,255,100.000
7,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0007-0146:1,0.021,0.000,0,0,0.000
8,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0008-0151:1,0.254,89.250,0,255,35.000
9,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0009-0152:1,0.097,0.000,0,0,0.000
10,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0010-0154:1,0.106,71.400,0,255,28.000
11,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0011-0156:1,0.135,255.000,255,255,100.000
12,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0012-0165:1,0.093,231.818,0,255,90.909
13,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0013-0170:1,0.296,251.357,0,255,98.571
14,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0014-0171:1,0.101,223.125,0,255,87.500
15,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0015-0187:1,0.055,255.000,255,255,100.000
16,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0016-0191:1,0.161,234.868,0,255,92.105
17,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0017-0197:1,0.156,227.432,0,255,89.189
18,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0018-0197:1,0.017,255.000,255,255,100.000
19,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0019-0220:1,0.127,153.000,0,255,60.000
20,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0020-0240:1,0.228,47.222,0,255,18.519
21,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0021-0245:1,0.051,191.250,0,255,75.000
22,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0022-0252:1,0.068,0.000,0,0,0.000
23,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0023-0256:1,0.152,255.000,255,255,100.000
24,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0024-0256:1,0.038,0.000,0,0,0.000
25,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0025-0262:1,0.118,245.893,0,255,96.429
26,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0026-0264:1,0.123,131.897,0,255,51.724
27,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0027-0268:1,0.152,113.333,0,255,44.444
28,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0028-0287:1,0.106,0.000,0,0,0.000
29,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0029-0293:1,0.072,60.000,0,255,23.529
30,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0030-0310:1,0.148,72.857,0,255,28.571
31,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0031-0312:1,0.046,255.000,255,255,100.000
