 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0001-0001-0160:1,0.161,214.737,0,255,84.211,1,0.13557971,25,0
2,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0002-0001-0158:2,0.152,205.417,0,255,80.556,2,0.12244512,,
3,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0003-0001-0158:3,0.148,196.714,0,255,77.143,3,0.11417164,,
4,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0004-0001-0157:4,0.144,157.5,0,255,61.765,4,0.0889416,,
5,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0005-0001-0157:5,0.156,213.649,0,255,83.784,5,0.13070304,,
6,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0006-0001-0156:6,0.144,157.5,0,255,61.765,6,0.0889416,,
7,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0007-0001-0155:7,0.161,187.895,0,255,73.684,7,0.11863124,,
8,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0008-0001-0155:8,0.161,161.053,0,255,63.158,8,0.10168438,,
9,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0009-0001-0154:9,0.144,172.5,0,255,67.647,9,0.09741168,,
10,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0010-0001-0154:10,0.161,154.342,0,255,60.526,10,0.09744686,,
11,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0011-0001-0154:11,0.135,103.594,0,255,40.625,11,0.05484375,,
12,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0012-0001-0153:12,0.139,216.364,0,255,84.848,12,0.11793872,,
13,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0013-0001-0152:13,0.169,146.625,0,255,57.5,13,0.097175,,
14,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0014-0001-0152:14,0.139,131.364,0,255,51.515,14,0.07160585,,
15,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0015-0001-0153:15,0.161,174.474,0,255,68.421,15,0.11015781,,
16,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0016-0001-0152:16,0.165,130.769,0,255,51.282,16,0.0846153,,
17,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0017-0001-0152:17,0.139,216.364,0,255,84.848,17,0.11793872,,
18,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0018-0001-0151:18,0.161,181.184,0,255,71.053,18,0.11439533,,
19,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0019-0001-0151:19,0.152,170,0,255,66.667,19,0.10133384,,
20,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0020-0001-0151:20,0.156,144.73,0,255,56.757,20,0.08854092,,
21,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0021-0001-0151:21,0.139,131.364,0,255,51.515,21,0.07160585,,
22,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0022-0001-0150:22,0.152,148.75,0,255,58.333,22,0.08866616,,
23,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0023-0001-0150:23,0.139,92.727,0,255,36.364,23,0.05054596,,
24,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0024-0001-0150:24,0.139,216.364,0,255,84.848,24,0.11793872,,
25,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0025-0001-0149:25,0.165,255,255,255,100,25,0.165,,
