Voxel count,Max Feret Diameter (nm),Distance,Contact_Type,Distance to closest DSM (nm)
1.0,6.928113359839267,12nm,ER-KRT,3605.127403716324
1.0,6.928112680486154,12nm,ER-KRT,353.31572689756285
1.0,6.928129146185186,12nm,ER-KRT,665.6846380792558
1.0,6.928145611884218,12nm,ER-KRT,734.661796286673
1.0,6.928112680486154,12nm,ER-KRT,2320.8758648252115
1.0,6.92806396274217,12nm,ER-KRT,745.6540629391384
1.0,6.928072195591685,12nm,ER-KRT,1465.7366591563914
1.0,6.928136864481608,12nm,ER-KRT,1567.5968825235032
1.0,6.928145611884218,12nm,ER-KRT,742.1481882374792
1.0,6.928112680486154,12nm,ER-KRT,363.2960101640492
1.0,6.928145611884218,12nm,ER-KRT,333.2506537390145
1.0,6.928244406078411,12nm,ER-KRT,176.0000003514506
1.0,6.928376131670667,12nm,ER-KRT,88.09086438077429
1.0,6.928112680486154,12nm,ER-KRT,399.4396138295997
1.0,6.928112680486154,12nm,ER-KRT,88.09086438077429
1.0,6.928112680486154,12nm,ER-KRT,333.61055784553173
1.0,6.928178543282282,12nm,ER-KRT,103.84604109958673
1.0,6.928080428441202,12nm,ER-KRT,2984.134198413813
1.0,6.928137379034701,12nm,ER-KRT,1463.1800695497077
1.0,6.928113359839267,12nm,ER-KRT,86.99424824953894
1.0,6.9280474970431385,12nm,ER-KRT,57.8273287032971
1.0,6.928113359839267,12nm,ER-KRT,76.10518792944276
1.0,6.928112680486154,12nm,ER-KRT,2863.9385618589586
1.0,6.928080428441202,12nm,ER-KRT,84.09518414964624
1.0,6.9280474970431385,12nm,ER-KRT,71.6658945520976
1.0,6.928112680486154,12nm,ER-KRT,65.60487975093565
1.0,6.9280474970431385,12nm,ER-KRT,115.16944198319835
1.0,6.9280474970431385,12nm,ER-KRT,172.92772724886166
1.0,6.9280474970431385,12nm,ER-KRT,168.8549673417583
1.0,6.928113359839267,12nm,ER-KRT,130.2305605577203
1.0,6.928178543282282,12nm,ER-KRT,114.82160289233435
1.0,6.928112680486154,12nm,ER-KRT,2636.24588114908
1.0,6.928112680486154,12nm,ER-KRT,109.17874959659457
1.0,6.9280474970431385,12nm,ER-KRT,76.41989441253828
1.0,6.928178543282282,12nm,ER-KRT,131.75734636661218
1.0,6.928080428441202,12nm,ER-KRT,144.1665631318756
1.0,6.928112680486154,12nm,ER-KRT,97.40636386368352
1.0,6.9280474970431385,12nm,ER-KRT,2776.4294827647973
1.0,6.9280474970431385,12nm,ER-KRT,2773.8060452975333
1.0,6.928178543282282,12nm,ER-KRT,138.10141297199152
1.0,6.928145611884218,12nm,ER-KRT,726.746179680049
1.0,6.9280474970431385,12nm,ER-KRT,105.52724916124134
1.0,6.928113359839267,12nm,ER-KRT,191.0811420202663
1.0,6.928112680486154,12nm,ER-KRT,775.6493687338661
1.0,6.928178543282281,12nm,ER-KRT,230.3388839663967
1.0,6.9280474970431385,12nm,ER-KRT,2729.574362092535
1.0,6.9280474970431385,12nm,ER-KRT,2357.0626126456773
1.0,6.9280474970431385,12nm,ER-KRT,2237.8703761205543
1.0,6.928080428441202,12nm,ER-KRT,724.2319952638354
1.0,6.9280474970431385,12nm,ER-KRT,2361.94500757847
1.0,6.9280474970431385,12nm,ER-KRT,2249.764520456665
1.0,6.928113359839265,12nm,ER-KRT,206.1843815681641
1.0,6.928178543282282,12nm,ER-KRT,142.26735345346242
1.0,6.9280474970431385,12nm,ER-KRT,329.4115913377027
1.0,6.928113359839265,12nm,ER-KRT,338.7742708582664
1.0,6.928146291237329,12nm,ER-KRT,702.1908459137194
1.0,6.928376131670667,12nm,ER-KRT,2133.114094249322
1.0,6.928113359839265,12nm,ER-KRT,301.4100116160989
1.0,6.9280474970431385,12nm,ER-KRT,2799.457206492661
1.0,6.9280474970431385,12nm,ER-KRT,2465.3795662743505
1.0,6.9280474970431385,12nm,ER-KRT,2276.7555947211804
1.0,6.928244406078411,12nm,ER-KRT,2282.542482134886
1.0,6.928096894140233,12nm,ER-KRT,292.1369457453693
1.0,6.928179222635396,12nm,ER-KRT,353.3836547831015
1.0,6.928113359839267,12nm,ER-KRT,134.46188518173585
1.0,6.928112680486154,12nm,ER-KRT,550.8538833964849
1.0,6.928080428441202,12nm,ER-KRT,724.8061706377484
1.0,6.9280474970431385,12nm,ER-KRT,136.05881576950196
1.0,6.928376131670667,12nm,ER-KRT,679.0228326281067
1.0,6.928245085431523,12nm,ER-KRT,137.75340335087094
1.0,6.9280474970431385,12nm,ER-KRT,426.5208133347187
1.0,6.928112680486154,12nm,ER-KRT,388.2267378685356
1.0,6.9280474970431385,12nm,ER-KRT,2083.0209450650727
